Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Soft_Skills_Rating,Certifications,Backlogs,Placement_Status
31632.0,18.0,Female,B.Tech,IT,7.22,1,5,9,7,78,6,3,0,Placed
35718.0,23.0,Male,BCA,Civil,7.41,0,4,5,4,53,6,1,0,Not Placed
34488.0,20.0,Male,B.Sc,IT,9.32,1,4,5,7,91,5,2,0,Placed
21613.0,23.0,Male,BCA,CSE,8.14,1,5,8,3,70,5,2,0,Not Placed
42868.0,20.0,Male,B.Tech,Civil,7.44,2,4,5,2,74,6,2,0,Not Placed
18847.0,23.0,Male,BCA,ECE,7.06,2,4,6,7,67,6,2,0,Placed
17974.0,18.0,Female,MCA,ECE,8.05,2,5,8,6,70,7,2,0,Placed
28992.0,18.0,,BCA,ME,5.99,1,3,6,4,70,4,2,1,Not Placed
,23.0,Female,MCA,ME,5.43,0,3,4,8,58,4,1,3,Not Placed
43425.0,21.0,Male,BCA,ME,6.26,0,3,5,8,78,7,2,1,Not Placed
15058.0,20.0,Female,B.Tech,ME,7.32,2,4,7,6,66,6,2,0,Placed
230.0,24.0,Female,B.Tech,CSE,6.11,0,4,6,6,72,7,2,3,Not Placed
22305.0,24.0,Male,BCA,ECE,6.93,1,4,6,4,57,6,2,0,Not Placed
2795.0,,Male,B.Tech,IT,5.16,0,3,4,6,41,5,1,2,Not Placed
,20.0,Male,B.Sc,Civil,8.01,0,3,3,4,71,6,1,0,Not Placed
16987.0,,Female,MCA,ECE,8.49,2,5,8,8,87,5,3,0,Placed
17202.0,19.0,Male,MCA,ME,6.84,0,3,4,5,55,6,1,0,Not Placed
44510.0,23.0,Female,BCA,ME,6.94,0,4,6,4,72,5,2,0,Not Placed
46955.0,24.0,Male,B.Sc,Civil,6.39,0,3,4,5,54,4,1,1,Not Placed
29944.0,22.0,Female,B.Tech,ECE,6.77,0,2,1,5,70,7,1,2,Not Placed
15515.0,23.0,,BCA,CSE,7.44,1,5,8,5,74,6,2,0,Placed
15339.0,19.0,Male,MCA,Civil,7.25,0,4,5,3,78,6,2,0,Not Placed
18466.0,,Female,BCA,ECE,8.13,2,5,9,6,85,6,3,1,Placed
34266.0,21.0,,MCA,ECE,6.98,1,3,5,4,53,6,1,2,Not Placed
36318.0,24.0,Female,MCA,ECE,5.88,0,3,4,5,61,6,1,3,Not Placed
11302.0,24.0,Female,MCA,ECE,6.71,0,4,7,4,64,3,2,0,Not Placed
12273.0,,Male,BCA,IT,6.33,2,4,8,9,59,5,2,1,Not Placed
22044.0,20.0,,MCA,CSE,7.12,1,4,7,6,78,5,2,0,Placed
4740.0,19.0,Male,MCA,CSE,6.47,0,3,5,3,54,6,1,3,Not Placed
29499.0,21.0,Male,BCA,ECE,6.61,1,4,6,5,64,5,2,1,Placed
21224.0,22.0,Male,BCA,ME,6.51,0,4,6,3,66,4,2,1,Not Placed
32205.0,19.0,Female,BCA,CSE,6.26,0,3,5,6,70,4,2,1,Not Placed
27215.0,20.0,Male,B.Tech,IT,7.15,0,4,5,4,60,5,2,0,Not Placed
21089.0,21.0,Male,MCA,ECE,7.15,1,5,8,5,77,7,2,0,Placed
33487.0,20.0,Female,MCA,IT,6.47,0,4,8,4,67,4,2,1,Not Placed
30537.0,23.0,Female,BCA,CSE,8.23,1,5,9,3,93,4,3,0,Not Placed
4854.0,21.0,Male,BCA,ME,6.94,1,4,6,4,66,6,2,0,Not Placed
22685.0,19.0,Female,B.Sc,ECE,6.23,0,3,4,6,74,6,1,3,Not Placed
864.0,23.0,Female,MCA,Civil,7.09,0,4,5,7,67,4,2,2,Not Placed
11701.0,24.0,Male,B.Sc,ME,6.2,1,3,4,2,66,8,1,2,Not Placed
34478.0,18.0,Female,MCA,IT,6.46,0,4,7,4,65,5,2,1,Not Placed
44891.0,23.0,Female,B.Tech,ME,6.22,0,3,4,7,47,5,1,3,Not Placed
45040.0,20.0,,MCA,CSE,6.76,1,4,7,5,73,7,2,1,Placed
27624.0,19.0,Female,B.Tech,Civil,6.62,0,3,3,5,51,6,1,1,Not Placed
39730.0,20.0,Female,MCA,ECE,8.53,1,4,6,6,82,5,2,1,Placed
,20.0,Male,BCA,ME,6.48,0,3,5,6,75,5,2,2,Not Placed
500000.0,22.0,Male,B.Tech,CSE,6.55,2,4,8,5,78,6,2,0,Placed
47694.0,22.0,Female,B.Tech,CSE,6.12,0,3,5,6,60,8,2,1,Not Placed
47442.0,19.0,Female,MCA,Civil,7.03,0,3,3,7,64,6,1,1,Not Placed
461.0,24.0,Female,BCA,IT,7.19,1,5,9,6,76,6,3,1,Placed
13376.0,22.0,Male,BCA,ME,8.85,1,5,7,6,97,7,2,0,Placed
47407.0,22.0,Male,B.Tech,Civil,8.13,0,3,3,4,86,6,1,0,Not Placed
37951.0,22.0,Female,MCA,CSE,6.39,1,4,7,6,70,7,2,3,Not Placed
38482.0,18.0,Female,MCA,IT,5.84,1,4,7,9,56,5,2,2,Not Placed
31171.0,24.0,Male,B.Sc,ECE,6.4,0,3,3,7,69,7,1,1,Not Placed
,,Female,MCA,ECE,7.68,0,4,5,6,97,6,2,0,Placed
31462.0,21.0,Female,B.Tech,Civil,8.23,1,5,8,4,84,7,3,1,Not Placed
25707.0,23.0,,BCA,IT,6.56,0,3,5,5,72,8,2,1,Placed
8124.0,19.0,Male,BCA,IT,6.54,0,3,4,7,45,4,1,0,Not Placed
32657.0,20.0,Female,B.Tech,IT,8.39,2,5,8,5,95,7,3,0,Placed
42559.0,21.0,Female,B.Sc,ECE,5.28,1,4,7,5,40,6,2,3,Not Placed
1713.0,240.0,Male,B.Sc,CSE,7.19,2,4,7,6,58,5,2,0,Placed
47257.0,18.0,Female,MCA,ECE,9.14,0,5,6,6,78,6,2,0,Placed
4959.0,19.0,Male,BCA,Civil,8.46,3,5,8,4,89,4,3,1,Not Placed
20212.0,240.0,Female,B.Tech,CSE,7.5,3,5,8,6,79,4,2,2,Not Placed
44124.0,23.0,Female,B.Sc,ME,7.22,1,4,7,3,77,7,2,1,Not Placed
4730.0,,Female,BCA,IT,7.65,1,5,9,5,81,6,3,0,Placed
2921.0,21.0,Female,BCA,IT,5.39,0,3,5,5,57,4,1,2,Not Placed
33682.0,20.0,Female,BCA,Civil,6.29,0,3,5,6,64,4,2,2,Not Placed
22220.0,24.0,Male,MCA,CSE,7.77,1,5,9,5,80,4,3,2,Not Placed
25427.0,19.0,Female,BCA,Civil,6.55,0,3,5,6,65,7,2,0,Placed
2750.0,24.0,Male,MCA,CSE,7.7,2,4,7,6,100,5,3,1,Placed
49452.0,24.0,,B.Tech,ECE,6.46,1,3,5,6,69,7,2,1,Not Placed
,18.0,Female,MCA,ECE,7.41,0,4,6,4,64,5,2,0,Not Placed
13727.0,23.0,Female,MCA,ME,7.06,0,4,5,2,71,7,2,0,Not Placed
,23.0,Female,MCA,IT,7.22,1,5,8,3,59,8,2,0,Not Placed
